title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Rurouni Kenshin;TV;94;1996;1998;Winter;In the revolutionary Meiji period, Japan is undergoing enormous political change. It is a time when vagabonds and terrorists will use any method to prevent the modernization of their country, even if it means trampling on the innocent in the process. In such a time, Himura Kenshin, a wandering samurai, has dedicated his life to protecting the weak and desperate peasants from those who would oppress them. However, Kenshin has a dark past which threatens to destroy the values he is fighting for. When he meets his new friends Kaoru, Sanosuke, and Yahiko, and tries to build a peaceful life with them, events conspire against him. Can Kenshin overcome the demons within and without, and finally ensure the peaceful future that Japan deserves?;['Gallop', 'Studio Deen'];Action,Shounen,19th Century,Feudal Japan,Overpowered Main Characters,Samurai,Swordplay,Based on a Manga
Quan Zhi Gao Shou;TV;12;2017;2017;Spring;In the multiplayer online game Glory, Ye Xiu, is well known as the Textbook level expert and a top-tier player. Due to a series of circumstances, he was forcefully expelled out of his professional team. After leaving the pro gaming scene, he resides at an Internet Café employed as one of the managers. When Glory launches the tenth server, he throws himself into the game once more, equipped with ten years of gaming experience, memories of the past and an incomplete self-made weapon. His journey back to the top begins. After plotting and scheming, who took away my glory? Under the influence of the storm, my hopes will never be shattered. In its magnificence, the path will not be lost, for I, will return!;['G.CMay Animation & Film'];Action,Drama,Chinese Animation,MMORPG,RPG,Tournaments,Based on a Novel
A Certain Scientific Railgun S;TV;24;2013;2013;Spring;Something sinister is growing in Academy City. The shadows are filled with whispers of a project to clone one of the super-powered students known as espers. High-ranking master of electricity Mikoto Misaka laughs off these stories until she comes face to face with a copy of herself. The duplicates are real, and are being mass-produced from Misaka's DNA, making each one of them a little piece of her. These clones - her sisters - are being systematically murdered in a series of experiments designed to turn a sadistic killer into the strongest esper in history. Misaka vows to save her copies and destroy the project, but this might be one fight she can't win alone.;['J.C. Staff'];Action,Sci Fi,Elemental Powers,Psychic Powers,Supernatural,Superpowers,Based on a Manga
Darker than Black;TV;25;2007;2007;Spring;A giant wall looms over Tokyo, shielding the city from a dangerous otherworld called the 'Hell's Gate'. Within the city, things are no less terrifying because Contractors, psychopathic killers with phenomenal powers, have started to appear. These killers are compelled to pay a price every time they use their powers, often in the form of a meaningless or painful task. As their deadly habits rack up a gruesome death toll, Kirihara Misaki and her team from the Foreign Affairs Public Security struggle to solve the cases and bring the Contractors under control. Their task is further confounded by the interference of a masked individual they title Messier Code BK201, a man with abilities that allow him to fight and defeat the Contractors. Who is this BK201? How can the Contractors be stopped permanently? And what does the appearance of the Hell's Gate mean for the people of Tokyo?;['Bones'];Action,Sci Fi,Noir,Superpowers,Original Work
Wotakoi: Love is Hard for Otaku;TV;11;2018;2018;Spring;Narumi Momose has had it rough: every boyfriend she’s had dumped her once they found out she was an otaku, so she’s gone to great lengths to hide it. When a chance meeting at her new job with childhood friend, fellow otaku, and now coworker Hirotaka Nifuji almost gets her secret outed at work, she comes up with a plan to make sure he never speaks up. But he comes up with a counter-proposal: why doesn’t she just date him instead? In love, there are no save points.;['A-1 Pictures'];Comedy,Romance,Adult Couples,Childhood Friends,Coworkers,Fujoshi,Mature Romance,noitaminA,Otaku Culture,Salaryman,Work Life,Based on a Manga
Food Wars! The Fourth Plate;TV;12;2019;2019;Fall;Yukihira Soma was sharpening his cooking skills while working at his family's restaurant, Yukihira Diner and entered the super-elite cooking school, Totsuki Teahouse Culinary Academy. While at the school, Soma encountered various other chefs and continued to grow, but things changed drastically as soon as Nakiri Azami took over as the school's new director. He establishes Central, and the students become unable to cook freely anymore. Soma and his friends decide to fight back against how Central is handling things, which turns them into rebels.;['J.C. Staff'];Comedy,Ecchi,Shounen,Cooking,Culinary School,Food and Beverage,Tournaments,Based on a Manga
ReLIFE;Web;13;2016;2016;Summer;Arata Kaizaki (27) quit the job he landed after graduation in only three months. His life did not go well after that. Now his parents are threatening to stop sending money, and want him to come back to the country. He has no friend or girlfriend to share his troubles with...as he hits rock bottom a strange man named Ryo Yoake appears. Yoake invites Kaizaki to join a societal rehabilitation program for NEETs called ReLife. This program uses a mysterious drug to make him look younger, and sends him back to high school for a year...;['TMS Entertainment', 'Double Eagle'];Comedy,Drama,Romance,Seinen,Slice of Life,Age Transformation,NEET,Psychological,School Life,Based on a Manga
Detective Conan Movie 18: The Sniper From Another Dimension;Movie;1;2014;2014;;A vicious sniper has appeared in Tokyo, rendering the people too scared to go outside, once again it's up to Conan to figure out the meaning behind the killings and capture the mysterious sniper before more lives are lost.;['TMS Entertainment'];Action,Mystery,Shounen,Age Transformation,Detectives,Based on a Manga
Hi Score Girl: Extra Stage;OVA;3;2019;2019;;Stranded out late with Akira, Haruo asks his mother to help him find a place to stay. Hidaka visits Haruo's house to lend him her PlayStation console.;['Shogakukan Music & Digital Entertainment'];Comedy,Seinen,Historical,Video Game Industry,Based on a Manga,CG Animation
Initial D Fifth Stage;TV;14;2012;2013;Fall;Still working as part of the Project D driving team, Takumi Fujiwara and Keisuke Takahashi continue to challenge courses and teams in the Kanagawa Prefecture. Meanwhile, a young golf phenom catches Takumi's eye, and Ryousuke Takahashi settles a score from his past.;['Synergy SP'];Action,Drama,Seinen,Sports,Cars,Racing,Based on a Manga
Miss Kobayashi's Dragon Maid;TV;13;2017;2017;Winter;Miss Kobayashi is your average office worker who lives a boring life, alone in her small apartment–until she saves the life of a female dragon in distress. The dragon, named Tohru, has the ability to magically transform into an adorable human girl (albeit with horns and a long tail!), who will do anything to pay off her debt of gratitude, whether Miss Kobayashi likes it or not. With a very persistent and amorous dragon as a roommate, nothing comes easy, and Miss Kobayashi's normal life is about to go off the deep end!;['Kyoto Animation'];Comedy,Fantasy,Seinen,Slice of Life,Animal Characteristics,Cohabitation,Contemporary Fantasy,Dragons,Maids,Monster Girls,Non-Human Protagonists,Reverse Isekai,Roommates,Urban Fantasy,Based on a Manga
Durarara!! X2 The Third Arc;TV;12;2016;2016;Winter;Ikebukuro is engulfed in a spiral of confusion. A group of individuals, each carrying the weight of their own past, gathers at Shinra’s apartment, while in the city the Dollars, Yellow Scarves, and Saika contend for power. However, the situation takes a turn that no one could expect when Celty’s head is revealed to the public, as this tale approaches its conclusion.;['Shuka'];Action,Comedy,Gangs,Noir,Social Media,Supernatural,Based on a Light Novel
Kiki's Delivery Service;Movie;1;1989;1989;;"Kiki is a young witch who has just turned thirteen, and as tradition dictates she must now leave the safety of her home for a year to undergo witch training. One clear night, Kiki takes off with her cat Jiji and her mother's broomstick to start her new life, and finds herself in a town near the ocean - but she's disappointed to find that people aren't nearly as friendly as she'd imagined they'd be. With nowhere to stay and no outstanding magical skills besides flying, Kiki begins to wonder if she's come to the right place; but after returning a pacifier to a customer of a local shop, its owner, Osono, offers her a place to stay. Kiki soon decides that she'll start her own delivery service, and with the help of newfound friends she sets forth on a journey to discover who she is and how to make it on her own.";['Studio Ghibli'];Fantasy,Slice of Life,Apprenticeship,Europe,Family Friendly,Lifestyle Change,Magic,Witches,Based on a Novel
GATE (2016);TV;12;2016;2016;Winter;The Japanese Special Defense Force continues it's ventures with peace talks with the nations beyond the gate , through the use of hostages from the first attack. Although disaster strikes again, and Itami Youji's squad is in the middle of it all once again.;['A-1 Pictures'];Action,Adventure,Fantasy,Dragons,Guns,Isekai,Medieval,Military,Person in a Strange World,Political,War,Based on a Light Novel
My Teen Romantic Comedy SNAFU TOO!;TV;13;2015;2015;Spring;Hikigaya Hachiman, with his unique thought processes, seemed to be glorifying the life of a loner when his guidance counselor, Hiratsuka Shizuka, talked him into joining the Service Club. Together with the other members, the breathtaking, flawless Yukinoshita Yukino and the cute, popular Yuigahama Yui, he spent his days solving all kinds of problems for his classmates, from relationship worries to running the cultural festival committee. The seasons have given way to fall, and now Hachiman, Yukino, and Yui are preparing for a field trip to Kyoto. What request has been brought to the Service Club this time?;['feel.'];Comedy,Drama,Romance,Seinen,School Club,School Life,Based on a Light Novel
Astra Lost in Space;TV;12;2019;2019;Summer;Itʼs the first day of Planet Camp, and Aries Spring couldnʼt be more excited! She, along with eight other strangers, leave for Planet McPa for a weeklong excursion. Soon after they arrive, however, a mysterious orb appears and transports them into the depths of space, where they find an empty floating spaceship…;['Lerche'];Action,Adventure,Drama,Mystery,Sci Fi,Shounen,Conspiracy,Outer Space,Survival,Based on a Manga
Code Geass: Lelouch of the Rebellion III - Glorification;Movie;1;2018;2018;;;['Sunrise'];Mecha,Sci Fi,Real Robot,Recap,Original Work
Kaiji - Against All Rules;TV;26;2011;2011;Spring;Sunk deep in colossal debt, Kaiji must spend the next decades of his life working it off in an underground slave pit, shovelling dirt with other disgraced down-and-outs. But far be it for Kaiji to have learned his lesson from his experiences on the Espoir. Upon discovering that the only fast track out of gambling-induced slavery is to gamble even more in a dice game called chinchirorin, he throws caution – and presumably his senses – to the fickle winds of luck! As well as giving him plenty of reasons to weep, this takes him up against formidable foes like his supervisor, Ohtsuki, whose dirty delight is to ruin the workers psychologically as well as financially. As the saying goes, in a bet there's a fool and a thief, and Kaiji can only hope he will not end up the former.;['MADHOUSE'];Seinen,Debt,Gambling,High Stakes Games,Prison,Psychological,Thriller,Based on a Manga
Jormungand: Perfect Order;TV;12;2012;2012;Fall;The child soldier Jonah continues to protect Koko while she brings the boom to cities across the globe. When the international arms dealer ramps up sales, her hired guns are targeted by government agencies, warmongers, and assassins — leading to some devastating betrayals and losses. Amid all the gunfire and grenades, Koko begins to work on a secret project in South Africa: Jormungand. But when she finally reveals her master plan for the future of war, not everyone is happy with the plot. As the body count starts to explode, Jonah will have to decide if he can stand by and watch his employer’s blood-soaked plan for world peace unfold, or try to put a stop to it.;['WHITE FOX'];Action,Seinen,Gangs,Guns,Mercenaries,Military,Based on a Manga
Welcome to the Ballroom;TV;24;2017;2017;Summer;Feckless high school student Tatara Fujita wants to be good at something - anything. Unfortunately, he's about as average as a slouchy teen can be. The local bullies know this, and make it a habit to hit him up for cash, but all that changes when the debonair Kaname Sengoku sends them packing. Sengoku's not the neighborhood watch, though. He's a professional ballroom dancer. And once Tatara Fujita gets pulled into the world of the ballroom, his life will never be the same.;['Production I.G'];Drama,Shounen,Dancing,School Life,Tournaments,Based on a Manga
Tsukimonogatari;;4;2014;2014;;One day in February, Koyomi Araragi was taking a bath with his younger sister Tsukihi amidst finishing his studies for the college entrance exam. This was also following the incident involving Nadeko Sengoku, which was successfully amended behind the scenes by Deishu Kaiki. Koyomi noticed a change on his body “that could not be overlooked” and sought advice from Shinobu Oshino leading him to contact Yoduru Kagenui and Yotsugi Ononoki. Was this change signifying retribution for everything that Koyomi has done?!;['Shaft'];Supernatural,Vampires,Based on a Light Novel
Daily Lives of High School Boys;TV;12;2012;2012;Winter;Join Tadakuni, Hidenori and Yoshitake as they undergo the trials and tribulations of life in high school. Each episode presents the boys and their classmates in unique situations that you may or may not have faced in high school yourself! You'll laugh! You'll cry! (But hopefully laugh more.) You'll be astounded by the zany antics of the Sanada High School community!;['Sunrise'];Comedy,Shounen,Slice of Life,All-Boys School,Breaking the Fourth Wall,Episodic,Gag,School Life,Based on a Manga
Hi Score Girl II;TV;9;2019;2019;Fall;Second season of Hi Score Girl.;['Shogakukan Music & Digital Entertainment'];Comedy,Seinen,Historical,Video Game Industry,Based on a Manga,CG Animation
Clannad;TV;23;2007;2008;Fall;"Tomoya Okazaki is a third-year high school student who is generally bored with life and doesn't take his studies, future, or anything else seriously. One day, however, he meets a lonely-looking girl in the school courtyard, Nagisa Furukawa. She explains to him the source of her loneliness: she had missed a lot of the previous school year and thus is repeating her third year; everybody that she knew has already graduated, and she is lonely. Tomoya is rather indifferent at first, but decides that he has nothing better to do and spends increasingly more time helping Nagisa restore the school drama club. As his relationship with Nagisa grows, Tomoya begins to open up to various other people around the school as well...";['Kyoto Animation'];Comedy,Drama,Harem,Romance,Delinquents,Romantic Comedy,School Club,School Life,Based on a Visual Novel
The World God Only Knows: Goddesses Arc;TV;12;2013;2013;Summer;After releasing fourteen girls from the grasps of runaway spirits by making them fall in love with him, Keima has proven himself to be the Capturing God of both the 2D and 3D worlds! But a new challenge awaits as Diana, the goddess possessing Keima's neighbor Tenri, tasks him to find her siblings, and his only clue to their whereabouts resides with past conquests who still retain their memories. Now Keima is on the hunt in hopes that these divine beings might finally release him from his contract with Hell. But with the shadowy organization known as Vintage out to kill these girls, it becomes a race against time to put a stop to their plans and restore these goddesses to their former power!;['Manglobe'];Comedy,Fantasy,Romance,Shounen,Demons,Otaku Culture,School Life,Based on a Manga
Carole & Tuesday;TV;24;2019;2019;Spring;Fifty years have passed since mankind began migrating to the new frontier: Mars. It's an age where most culture is produced by AI, and people are content to be passive consumers. There's a girl scraping a living in the metropolis of Alba City, she's working part-time while trying to become a musician. She's always felt like something is missing. Her name is Carole. There's another girl. Born to a wealthy family in the provincial town of Herschel City, she dreams of becoming a musician, but nobody around her understands. She feels like the loneliest person in the world. Her name is Tuesday. A chance meeting brings them together.;['Bones'];Drama,Sci Fi,Music,Original Work
Non Non Biyori Repeat;TV;12;2015;2015;Summer;The slow-paced yet heartwarming life of the four girls in the tiny Asahioka Branch School continues as Natsumi, Komari, Renge, and Hotaru attend school in the one-room schoolhouse that holds only 5 students. Although the laid-back environment and atmosphere is a big change for Hotaru, who came from bustling Tokyo, there’s just something charming and calming about life in the Japanese countryside. ;['SILVER LINK'];Comedy,Seinen,Slice of Life,Countryside,Iyashikei,Lifestyle Change,School Life,Transfer Students,Based on a Manga
Love, Chunibyo & Other Delusions! Movie: Take On Me;Movie;1;2018;2018;;Yuuta and Rikka may have finally started to come to terms with the various delusions that have run their lives, but as their relationship becomes progressively more real, their development as a couple seems to be increasingly in danger of stalling out! When your relationship is partially the result of a series of fantasies, what can reality serve up that’s equal to the make-believe? Rikka’s sister decides that she’s going to move to Italy and take Rikka with her, and the solution that Rikka and Yuuta decide on is both improbably logical and unrealistically practical: They’re going to elope! For real!;['Kyoto Animation'];Comedy,Drama,Romance,Coming of Age,Based on a Light Novel
Tenchi Muyo! War on Geminar;OVA;13;2009;2010;;Young Kenshi Masaki has his hands full catering to the whims of an entire academy of oversexed school girls, but a darkness looms on the horizon that will soon cast his life into chaos. The mysterious and enchanting Doll, controlled from afar by a power hungry madman, leads an unthinkable invasion that attacks the nubile students of the academy from inside its once protective walls. To save his bevy of galactic playmates, Kenshi must summon the power of a Sacred Mechanoid and fight to preserve peace in a world that hovers on the brink of destruction. Should he survive, Kenshi will be mobbed by a hoard of comely coeds who want to make the hero their husband!;['AIC Spirits', 'BeSTACK'];Action,Ecchi,Fantasy,Harem,Mecha,Person in a Strange World,Royalty,School Life
Millennium Actress;Movie;1;2001;2001;;"What starts as a simple interview of a legendary actress becomes a journey through the history of Japan. But this is no ordinary lesson; from the perspective of this actress, we learn of the beauty and sadness of love, the pain and regret and joy of the Japanese people and their film, through this film: Millennium Actress.";['MADHOUSE'];Drama,Acting,Unrequited Love,Original Work
Grand Blue;TV;12;2018;2018;Summer;After moving out on his own to a seaside town, Iori Kitahara makes a college debut he never anticipated. A new chapter of his life unfolds, full of diving with beautiful girls and shenanigans with a gaggle of lovable bastards! Idiot-expert Kenji Inoue and au naturel authority Kimitake Yoshioka bring you a glorious college tale filled with booze-fueled antics!;['Zero-G'];Comedy,Ecchi,Romance,Seinen,College,Gag,Mature Romance,Ocean,Scuba Diving,Slapstick,Based on a Manga
Berserk: Golden Age Arc II - The Battle for Doldrey;Movie;1;2012;2012;;For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk. At the same time, a bloody battle to capture the impenetrable Fortress of Doldrey from the Empire of Chuder is about to begin. The Band of the Hawk will face an army 30,000 strong!;['Studio 4°C'];Action,Fantasy,Seinen,Dark Fantasy,Demons,Medieval,Mercenaries,Overpowered Main Characters,Swordplay,Based on a Manga
Nana;TV;47;2006;2007;Spring;"Nana Komatsu is on her way to Tokyo; now she can finally be with her boyfriend after a year of dating long-distance! On the train there, Nana Komatsu meets Nana Osaki – a girl who shares her name but seems to be everything Nana Komatsu is not; cool, street-wise, and a punk rocker. The two hit it off and spend the entire journey getting to know each other, but when they get to Tokyo, circumstance separates them seemingly forever. However, fate is not finished with these two. Whilst hunting for a place to live the two Nanas again cross paths. They decide to share a flat and become best friends in no time. Nana K. must learn to be independent and mature, while Nana O. works on becoming famous with her band; but together, they will learn about love and loss, and the growth that comes with it.";['MADHOUSE'];Drama,Romance,Shoujo,Adult Couples,Coming of Age,Love Triangle,Mature Romance,Music,Pregnancy,Rock Music,Showbiz,Based on a Manga
Detective Conan Movie 23: The Fist of Blue Sapphire;Movie;1;2019;2019;;;['V1 Studio', 'TMS Entertainment'];Mystery,Detectives,Based on a Manga
Laid-Back Camp;TV;12;2018;2018;Winter;Nadeshiko, a high school student who had moved from Shizuoka to Yamanashi, decides to see the famous, 1000 yen-bill-featured Mount Fuji. Even though she manages to bike all the way to Motosu, she's forced to turn back because of worsening weather. Unable to set her eyes on her goal, she faints partway to her destination. When she wakes up, it's night, in a place she's never been before, with no way of knowing how to get home. Nadeshiko is saved when she encounters Rin, a girl who is out camping by herself. This outdoorsy girls story begins with this first encounter between Nadeshiko and Rin.;['C-Station'];Adventure,Comedy,Seinen,Slice of Life,Iyashikei,School Club,The Great Outdoors,Based on a Manga
Bakuman.;TV;25;2010;2011;Fall;"Moritaka Mashiro feels as if life is passing him by; with no dreams or motivation, he trudges through day-to-day life. One day, after leaving his notebook behind, he returns to school and finds the smartest guy in class, Takagi, waiting for him. Takagi is happy to return the book, but on the condition that Mashiro agrees to become a mangaka with him. Though Mashiro initially declines, he soon reconsiders when he discovers that the girl he likes, Azuki, dreams of becoming a voice actress. And after promising that she can have the lead role if their manga is ever adapted into an anime, he suggests that they get married once they are both successful! Shockingly, she agrees to the proposal and Mashiro and Takagi embark on their quest to become manga artists.";['J.C. Staff'];Drama,Shounen,Anime Industry,Manga Industry,Otaku Culture,Voice Acting,Writers,Based on a Manga
Nura: Rise of the Youkai Clan - Demon Capital;TV;24;2011;2011;Summer;Peace has returned to the Nura Clan following their victory against the Shikoku yokai, but things do not stay quiet for long. Ryuji Keikain, brother of Yura the Onmyoji, arrives in Ukiyoe Town bringing dire news: Hagoromo-Gitsune, the great yokai who was once stopped by Supreme Commander Nurarihyon, has returned! The Third Heir Rikuo Nura must now travel across Japan to gain new powers and allies in order to face down his most powerful enemy!;['Studio Deen'];Action,Shounen,Demons,Monsters,Supernatural,Youkai,Based on a Manga
Magical Girl Lyrical Nanoha: The Movie 2nd A's;Movie;1;2012;2012;;"Six months have passed since the events of the previous movie. Fate Testarossa has returned to Uminari City with Lindy Harlaown as her legal guardian and is living the life of a normal elementary schoolgirl along with Nanoha Takamachi and her friends. The reunion between the two new-found friends are cut short however, when they are assaulted by four ancient magic users who identified themselves as the ""Wolkenritter"". As the motives behind the actions of the Wolkenritter become clear, Nanoha and Fate find themselves in a race against time to stop the reactivation of a highly dangerous artifact known as ""The Book of Darkness"".";['Seven Arcs'];Fantasy,Magical Girl,Seinen,Contemporary Fantasy,Disability,Henshin Heroes,Magic,Recap,Urban Fantasy,Based on a Manga
Bakemonogatari;TV;15;2009;2010;Summer;Koyomi Araragi is an aloof boy who holds a strange, supernatural secret which inadvertently leads him to others with similar stories. Gods, spirits and afflictions can be pesky things, taking important memories or causing unusual tendencies – a fact that Koyomi and others are unfortunately aware of. Using the help of an eccentric homeless man, Koyomi is able to help new friends he meets along the way with their own paranormal conundrums…;['Shaft'];Comedy,Supernatural,Tsundere,Based on a Light Novel
Aggretsuko 2;Web;10;2019;2019;Spring;Second season of Aggretsuko.;['Fanworks'];Comedy,Animal Protagonists,Anthropomorphic,Coworkers,Music,Non-Human Protagonists,Sanrio Characters,Work Life,Original Work
Chihayafuru;TV;25;2011;2012;Fall;Chihaya Ayase is a famous beauty at her school, but she’s far from a conventional girl. Three years ago in her final year of elementary school, Chihaya and her friend Taichi became infatuated with the card game, Karuta, after connecting with a lonely boy named Arata Wataya. But when the trio graduated from elementary school, they each went their separate ways but shared one common goal: to excel in the game and meet each other at the national championships. Now, Chihaya is attempting to share her passion for the game by creating a competitive Karuta club at school, but when she reunites with Taichi it seems that maybe she’s the only one with the intention of fulfilling their childhood promise...;['MADHOUSE'];Drama,Josei,Romance,Sports,Childhood Promise,Love Triangle,School Club,School Life,Tournaments,Based on a Manga
Blue Spring Ride: Page.13;OVA;1;2014;2014;;;['Production I.G'];Drama,Romance,Shoujo,Based on a Manga
Thunderbolt Fantasy Movie 2: Bewitching Melody of the West;Movie;1;2019;2019;;Làng Wū Yáo, a boy with a supernatural singing voice, gets caught up in a life or death battle performance against other singers.;['Pili International Multimedia'];Action,Fantasy,Ancient China,Swordplay,Wuxia,Original Work
Berserk;TV;25;1997;1998;Fall;Born beneath the gallows tree from which his dead mother hung, Guts has always existed on the boundary between life and death. After enduring a terrible childhood, he spends his adulthood in brutal combat, pitting his strength against others in order to build his own. Life is simple enough for Guts until he meets Griffith, the inspirational, ambitious, and beautiful leader of the mercenaries, the Band of the Hawks. When Guts loses to Griffith in a duel, he is forced to join the group, and, despite himself, finds a sense of camaraderie and belonging amongst them. However, as Griffith leads his soldiers from victory to victory, the bloody wars and underhanded politics reveal a side to him that nobody quite expected. Can Guts, a simple warrior, defend those who have come to mean the most to him, all the while struggling not to lose to the darkness he has carried with him his entire life?;['OLM'];Action,Fantasy,Seinen,Dark Fantasy,Demons,Medieval,Mercenaries,Overpowered Main Characters,Swordplay,Based on a Manga
Kimi ni Todoke - From Me To You 2nd Season;TV;12;2011;2011;Winter;It’s now mid-February and, while Sawako continues to grow closer than ever to Chizu and Ayane, her relationship with Kazehaya has skidded to a halt, with both parties still unable to admit to their feelings for each other. As another school year arrives however, a new man enters Sawako’s life, the flirtatious Kent – and he’s taken a special interest in the awkward teen! With a new man grabbing at his crush’s attention, Kazehaya’s patience is beginning to run out. But what exactly are Kent’s motives, and will Sawako ever be able to find a way to convey her sentiments to the boy she loves?;['Production I.G'];Comedy,Drama,Romance,Shoujo,School Life,Based on a Manga
Major: Message;OVA;1;2010;2010;;Having flown high in the Major Leagues for many years, Goro is suddenly struck with an injury that destroys his pitching arm. Life has always thrown him curveballs, but this time there’s more at stake than just fame and glory – namely, the respect of Goro's kids and their love of baseball. With the hopes of his family weighing on his shoulders and memories of his dead father clearer than ever in his mind, Goro decides on an unusual route back into professional baseball. But is he right to push for an unlikely dream when it compromises his fatherhood, or should Japan’s greatest pitcher admit defeat and finally hang up his glove?;['Synergy SP'];Drama,Shounen,Sports,Baseball,Based on a Manga
Working!!!;TV;13;2015;2015;Summer;Third season of Working!!;['A-1 Pictures'];Comedy,Romance,Seinen,Slice of Life,Androphobia,Coworkers,Restaurants,Work Life,Based on a 4-Koma Manga,Based on a Manga
The Tale of the Princess Kaguya;Movie;1;2013;2013;;In an idyllic rural setting an old bamboo cutter and his wife raise a tiny girl found nestled within a glowing bamboo stalk along with a fortune in gold. As she approaches adulthood the bamboo cutter uses the fortune to purchase a villa in the capital, buy himself a title and employ tutors to transform the country girl—now given the name Kaguya—into a refined woman. News of her beauty brings powerful and wealthy suitors who compete for her hand in marriage, culminating in a proposal from the emperor. All the while Kaguya wishes that she and her family could return to their former life and to be reunited with her sweetheart, Sutemaru. Sooner or later, though, her true origins will make their own claim upon her.;['Studio Ghibli'];Fantasy,Coming of Age,Feudal Japan,Historical,Japanese Mythology,Royalty
Sound! Euphonium 2;TV;13;2016;2016;Fall;Having won first place in the Kyoto Concert Band Competition, the Kitauji High School Concert Band prepares to go up against the many esteemed bands competing in the Kansai competition.;['Kyoto Animation'];Drama,Music,School Club,School Life,Based on a Novel
Ling Jian Zun 3rd Season;Web;40;2019;;;Third season of Ling Jian Zun.;[];Action,Fantasy,Ancient China,Chinese Animation,Cultivation,Short Episodes,Based on a Novel,CG Animation
One Piece Film: Gold;Movie;1;2016;2016;;The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.;['Toei Animation'];Action,Adventure,Shounen,Gambling,Pirates,Superpowers,Based on a Manga
Broken Blade Movie 4: The Land of Calamity;Movie;1;2010;2010;;While the forces of Athens retreat, Krishna prepares for a counterattack. Meanwhile, Rygart is ambushed when he returns home to check on his brother.;['Production I.G', 'XEBEC'];Action,Fantasy,Mecha,Magic,Military,War
Initial D Second Stage;TV;13;1999;2000;Fall;The Gunma region is being invaded by the fearsome Emperors, a street racing team who drive nothing but powerful Lan-EVOs. With the ambition to conquer the entire region in one month and the most powerful 4-wheel-drive cars at their disposal, Kyoichi and the Emperors have set out to get their long awaited revenge on Takahashi Ryousuke, their archnemesis. Together with the undefeated downhill hero Takumi, Ryousuke is all that stands in the way of Kyoichi and his gang. But winning will be a difficult task -- do the Gunma region's drivers really stand a chance?;['Pastel'];Action,Drama,Seinen,Sports,Cars,Racing,Based on a Manga
Evangelion: 1.0 You Are (Not) Alone;Movie;1;2007;2007;;"Following a disastrous event known as ""The Second Impact,"" humanity teeters on the brink of extinction. Having not completely eradicated mankind previously, creatures known as Angels begin attacking once more in an attempt to create a third, and final, catastrophe which will annihilate mankind once and for all. When conventional weapons fail to stop the Angels, however, the Japanese military organization NERV proposes the use of strange mecha called Evangelions. When the first Evangelion rejects its pilot, though, NERV's commander is forced to draft his estranged son, Shinji, as mankind's savior. Bitter of his father's estrangement and insecure in his abilities, Shinji struggles to overcome his doubts and fears in the face of certain death, but ultimately continues to fall short despite his efforts. As he slowly improves his skills, however, he must come to terms with the greatest question of all: is humanity worth saving after all?";['Studio Khara'];Action,Drama,Mecha,Sci Fi,Post-apocalyptic,Super Robot,Original Work
Junjou Romantica 3;TV;12;2015;2015;Summer;College student Misaki Takahashi's feelings towards famous novelist Akihiko Usami gradually changes with time being living with him, especially when Misaki is becoming a college senior.;['Studio Deen'];BL,Comedy,Drama,Romance,Shounen-ai,Age Gap,Cohabitation,LGBT Themes,Romantic Comedy,Writers,Yaoi Hand Syndrome,Based on a Manga
Major 2nd: Second Season;TV;7;2020;;Spring;Second season of Major 2nd.;['OLM'];Sports,Baseball,Based on a Manga
The Pet Girl of Sakurasou;TV;24;2012;2013;Fall;"Sorata Kanda has a real problem - he just can't say no to the cute face of a kitten! However, his lovely strays have finally landed him in trouble, as his dorm doesn't allow keeping pets. Given an ultimatum to get rid of the cats or move out, Sorata makes the mistake of standing up for himself and finds himself exiled to Sakurasou, the home of misfits the school doesn't know what to do with. Yet the more he spends time there, Sorata sees they all have their own incredible talents. None, however, enthralls him more than the latest arrival: Mashiro Shiina, a world class artist who is seemingly incapable of feeding or clothing herself! Since none of the other residents have a shred of responsibility, the onus of 'Mashiro Duty' falls to Sorata; what will become of Sorata and his latest stray, and will he ever achieve his goal of escaping Sakurasou?";['J.C. Staff'];Comedy,Drama,Romance,Boarding House,Boarding School,Neighbors,Romantic Comedy,School Life,Based on a Light Novel
Moribito: Guardian of the Spirit;TV;26;2007;2007;Spring;In the feudal kingdom of Yogo, a dark secret is threatening its proud imperial family, and the Emperor intends to destroy it before it leaks out. Unfortunately this dark secret resides within his son, the young and innocent Second Prince Chagum. Enter Balsa, a wandering warrior who has sworn to save eight lives in penance for those she has taken during her violent career. Upon accepting her role as protector to Chagum, her eighth and final job, the two begin a perilous journey that tests not only their physical endurance and mental resolve, but also the tentative relationship they build along the way. Will Balsa fulfill her penance and protect Chagum as he seeks to understand the nature of his secret? Or will the Emperor's relentless assassins and other powerful enemies get them first?;['Production I.G'];Action,Drama,Fantasy,Mystery,Environmental,Political,Based on a Novel
